Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2015,NV_IND_MANFPC,ET,_T,_T,_T,_T,_T,constant 2010 United States dollars,0,N,2015,4.95080601459635
2016,NV_IND_MANFPC,ET,_T,_T,_T,_T,_T,constant 2010 United States dollars,0,N,2016,6.15750039038856
2017,NV_IND_MANFPC,ET,_T,_T,_T,_T,_T,constant 2010 United States dollars,0,N,2017,6.9645834009796
2018,NV_IND_MANFPC,ET,_T,_T,_T,_T,_T,constant 2010 United States dollars,0,N,2018,6.90759045184401
2019,NV_IND_MANFPC,ET,_T,_T,_T,_T,_T,constant 2010 United States dollars,0,N,2019,6.82270765360313
2020,NV_IND_MANFPC,ET,_T,_T,_T,_T,_T,constant 2010 United States dollars,0,N,2020,6.91632096235664
