Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2005,SH_STA_WASTE,ET,_T,_T,_T,AGGA_01_02,_T,PT,0,N,2005,13.2
2011,SH_STA_WASTE,ET,_T,_T,_T,AGGA_01_02,_T,PT,0,N,2011,11.0
2016,SH_STA_WASTE,ET,_T,_T,_T,AGGA_01_02,_T,PT,0,N,2016,10.7
2000,SH_STA_WASTE,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2000,10.4
2005,SH_STA_WASTE,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2005,9.9
2011,SH_STA_WASTE,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2011,7.9
2016,SH_STA_WASTE,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2016,9.0
2000,SH_STA_WASTE,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2000,8.0
2005,SH_STA_WASTE,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2005,3.4
2011,SH_STA_WASTE,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2011,3.0
2016,SH_STA_WASTE,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2016,7.2
2000,SH_STA_WASTE,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2000,0.7
2005,SH_STA_WASTE,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2005,15.0
2011,SH_STA_WASTE,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2011,5.1
2016,SH_STA_WASTE,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2016,8.0
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2000,12.2
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2005,12.2
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2011,9.7
