Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2016,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2016,9.8
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2000,12.1
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2005,15.4
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2011,12.1
2016,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2016,13.5
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2000,12.8
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2005,15.2
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2011,12.3
2016,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2016,9.4
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2000,13.1
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2005,12.0
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2011,9.4
2016,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2016,10.5
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2000,13.2
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2005,8.7
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2011,7.7
2016,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2016,7.0
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q5,PT,0,N,2000,8.7
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q5,PT,0,N,2005,8.3
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q5,PT,0,N,2011,5.1
2016,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q5,PT,0,N,2016,7.2
2000,SH_STA_WASTE,ET,_T,Y0T4,U,_T,_T,PT,0,N,2000,7.4
2005,SH_STA_WASTE,ET,_T,Y0T4,U,_T,_T,PT,0,N,2005,8.7
2011,SH_STA_WASTE,ET,_T,Y0T4,U,_T,_T,PT,0,N,2011,5.7
2016,SH_STA_WASTE,ET,_T,Y0T4,U,_T,_T,PT,0,N,2016,8.6
2000,SH_STA_WASTE,ET,_T,Y0T4,R,_T,_T,PT,0,N,2000,12.7
2005,SH_STA_WASTE,ET,_T,Y0T4,R,_T,_T,PT,0,N,2005,12.5
2011,SH_STA_WASTE,ET,_T,Y0T4,R,_T,_T,PT,0,N,2011,10.2
2016,SH_STA_WASTE,ET,_T,Y0T4,R,_T,_T,PT,0,N,2016,9.9
2000,SH_STA_WASTE,ET,F,Y0T4,_T,_T,_T,PT,0,N,2000,10.6
2005,SH_STA_WASTE,ET,F,Y0T4,_T,_T,_T,PT,0,N,2005,10.6
2011,SH_STA_WASTE,ET,F,Y0T4,_T,_T,_T,PT,0,N,2011,8.2
2016,SH_STA_WASTE,ET,F,Y0T4,_T,_T,_T,PT,0,N,2016,9.5
2000,SH_STA_WASTE,ET,M,Y0T4,_T,_T,_T,PT,0,N,2000,13.7
2005,SH_STA_WASTE,ET,M,Y0T4,_T,_T,_T,PT,0,N,2005,13.7
2011,SH_STA_WASTE,ET,M,Y0T4,_T,_T,_T,PT,0,N,2011,11.1
2016,SH_STA_WASTE,ET,M,Y0T4,_T,_T,_T,PT,0,N,2016,10.1
2000,SH_STA_WASTE,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2000,12.7
2005,SH_STA_WASTE,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2005,13.1
2011,SH_STA_WASTE,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2011,10.3
2016,SH_STA_WASTE,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2016,11.0
2000,SH_STA_WASTE,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2000,16.2
2005,SH_STA_WASTE,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2005,14.0
2011,SH_STA_WASTE,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2011,19.5
2016,SH_STA_WASTE,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2016,17.8
2000,SH_STA_WASTE,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2000,11.7
2005,SH_STA_WASTE,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2005,17.7
2011,SH_STA_WASTE,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2011,9.9
2016,SH_STA_WASTE,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2016,9.7
2000,SH_STA_WASTE,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2000,11.1
2005,SH_STA_WASTE,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2005,10.3
2011,SH_STA_WASTE,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2011,9.7
2016,SH_STA_WASTE,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2016,10.4
2000,SH_STA_WASTE,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2000,16.7
2005,SH_STA_WASTE,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2005,24.2
2011,SH_STA_WASTE,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2011,22.2
2016,SH_STA_WASTE,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2016,22.5
2000,SH_STA_WASTE,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2000,14.8
2005,SH_STA_WASTE,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2005,19.6
2011,SH_STA_WASTE,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2011,9.9
2016,SH_STA_WASTE,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2016,11.2
2000,SH_STA_WASTE,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2000,14.8
2005,SH_STA_WASTE,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2005,8.2
2011,SH_STA_WASTE,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2011,7.6
2016,SH_STA_WASTE,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2016,5.9
2000,SH_STA_WASTE,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2000,20.7
2005,SH_STA_WASTE,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2005,11.1
2011,SH_STA_WASTE,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2011,12.5
2016,SH_STA_WASTE,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2016,14.0
2000,SH_STA_WASTE,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2000,7.3
2005,SH_STA_WASTE,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2005,10.9
2011,SH_STA_WASTE,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2011,9.1
2016,SH_STA_WASTE,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2016,10.7
2000,SH_STA_WASTE,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2000,5.2
2005,SH_STA_WASTE,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2005,3.3
2011,SH_STA_WASTE,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2011,4.6
2016,SH_STA_WASTE,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2016,3.5
2000,SH_STA_WASTE,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2000,12.1
2005,SH_STA_WASTE,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2005,16.4
2011,SH_STA_WASTE,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2011,12.3
2016,SH_STA_WASTE,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2016,9.9
2005,SH_STA_OVRWGT,ET,_T,_T,_T,AGGA_01_02,_T,PT,0,N,2005,3.8
2011,SH_STA_OVRWGT,ET,_T,_T,_T,AGGA_01_02,_T,PT,0,N,2011,1.5
2016,SH_STA_OVRWGT,ET,_T,_T,_T,AGGA_01_02,_T,PT,0,N,2016,3.4
2000,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2000,1.4
2005,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2005,4.7
2011,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2011,1.8
2016,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2016,3.6
2000,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2000,3.9
2005,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2005,9.6
2011,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2011,4.3
2016,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2016,4.4
2000,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2000,0.9
2005,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2005,0.2
2011,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2011,7.6
2016,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2016,1.4
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2000,1.8
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2005,4.0
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2011,1.7
2016,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2016,3.6
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2000,1.7
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2005,3.8
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2011,1.7
2016,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2016,3.9
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2000,1.5
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2005,3.2
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2011,1.8
2016,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2016,3.2
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2000,2.1
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2005,3.6
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2011,0.8
2016,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2016,3.1
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2000,1.5
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2005,4.8
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2011,1.5
2016,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2016,4.2
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q5,PT,0,N,2000,2.4
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q5,PT,0,N,2005,5.2
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q5,PT,0,N,2011,2.8
2016,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q5,PT,0,N,2016,3.5
2000,SH_STA_OVRWGT,ET,_T,Y0T4,U,_T,_T,PT,0,N,2000,2.8
2005,SH_STA_OVRWGT,ET,_T,Y0T4,U,_T,_T,PT,0,N,2005,5.4
2011,SH_STA_OVRWGT,ET,_T,Y0T4,U,_T,_T,PT,0,N,2011,3.3
2016,SH_STA_OVRWGT,ET,_T,Y0T4,U,_T,_T,PT,0,N,2016,3.5
2000,SH_STA_OVRWGT,ET,_T,Y0T4,R,_T,_T,PT,0,N,2000,1.7
2005,SH_STA_OVRWGT,ET,_T,Y0T4,R,_T,_T,PT,0,N,2005,3.9
2011,SH_STA_OVRWGT,ET,_T,Y0T4,R,_T,_T,PT,0,N,2011,1.5
2016,SH_STA_OVRWGT,ET,_T,Y0T4,R,_T,_T,PT,0,N,2016,3.6
2000,SH_STA_OVRWGT,ET,F,Y0T4,_T,_T,_T,PT,0,N,2000,1.8
2005,SH_STA_OVRWGT,ET,F,Y0T4,_T,_T,_T,PT,0,N,2005,3.6
2011,SH_STA_OVRWGT,ET,F,Y0T4,_T,_T,_T,PT,0,N,2011,1.9
2016,SH_STA_OVRWGT,ET,F,Y0T4,_T,_T,_T,PT,0,N,2016,3.7
2000,SH_STA_OVRWGT,ET,M,Y0T4,_T,_T,_T,PT,0,N,2000,1.8
2005,SH_STA_OVRWGT,ET,M,Y0T4,_T,_T,_T,PT,0,N,2005,4.4
2011,SH_STA_OVRWGT,ET,M,Y0T4,_T,_T,_T,PT,0,N,2011,1.5
2016,SH_STA_OVRWGT,ET,M,Y0T4,_T,_T,_T,PT,0,N,2016,3.5
2000,SH_STA_OVRWGT,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2000,1.0
2005,SH_STA_OVRWGT,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2005,2.2
2011,SH_STA_OVRWGT,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2011,1.0
2016,SH_STA_OVRWGT,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2016,1.6
2000,SH_STA_OVRWGT,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2000,2.4
2005,SH_STA_OVRWGT,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2005,7.0
2011,SH_STA_OVRWGT,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2011,2.1
2016,SH_STA_OVRWGT,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2016,1.5
2000,SH_STA_OVRWGT,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2000,1.8
2005,SH_STA_OVRWGT,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2005,3.9
2011,SH_STA_OVRWGT,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2011,1.6
2016,SH_STA_OVRWGT,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2016,1.9
2000,SH_STA_OVRWGT,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2000,2.2
2005,SH_STA_OVRWGT,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2005,4.3
2011,SH_STA_OVRWGT,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2011,1.4
2016,SH_STA_OVRWGT,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2016,4.5
2000,SH_STA_OVRWGT,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2000,5.4
2005,SH_STA_OVRWGT,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2005,5.2
2011,SH_STA_OVRWGT,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2011,1.2
2016,SH_STA_OVRWGT,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2016,2.6
2000,SH_STA_OVRWGT,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2000,1.9
2005,SH_STA_OVRWGT,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2005,0.7
2011,SH_STA_OVRWGT,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2011,1.2
2016,SH_STA_OVRWGT,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2016,2.5
2000,SH_STA_OVRWGT,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2000,1.1
2005,SH_STA_OVRWGT,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2005,4.2
2011,SH_STA_OVRWGT,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2011,2.3
2016,SH_STA_OVRWGT,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2016,3.9
2000,SH_STA_OVRWGT,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2000,2.8
2005,SH_STA_OVRWGT,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2005,8.9
2011,SH_STA_OVRWGT,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2011,0.7
2016,SH_STA_OVRWGT,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2016,3.1
2000,SH_STA_OVRWGT,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2000,2.9
2005,SH_STA_OVRWGT,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2005,5.5
2011,SH_STA_OVRWGT,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2011,1.8
2016,SH_STA_OVRWGT,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2016,3.3
2000,SH_STA_OVRWGT,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2000,4.0
2005,SH_STA_OVRWGT,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2005,3.3
2011,SH_STA_OVRWGT,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2011,5.7
2016,SH_STA_OVRWGT,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2016,7.3
2000,SH_STA_OVRWGT,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2000,2.0
2005,SH_STA_OVRWGT,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2005,3.7
2011,SH_STA_OVRWGT,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2011,2.0
2016,SH_STA_OVRWGT,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2016,1.6
