Indicator,Disaggregation combinations using this value
#2-2-1,4
#2-2-2,8
#3-a-1,20
#4-2-2,6
#5-3-2,15
#5-5-2,4
#5-6-1,3
#5-a-1,5
#5-b-1,1
#8-3-1,24
#8-5-2,24
