Value,Disaggregation combinations using this value,Number of indicators
D1,10,1
D2,6,1
D3,6,1
D4,6,1
EG_ELC_ACCS,4,1
ER_GRF_ANIMSTORN,6,1
ER_GRF_PLNTSTOR,5,1
IC_GEN_MGTL,4,1
IT_MOB_OWN,2,1
NV_IND_MANFPC,6,1
NY_GDP_PCAP,6,1
SE_PRE_PARTN,18,1
SG_NHR_IMPLN,6,1
SG_REG_BRTH,4,1
SH_DYN_MORT,4,1
SH_DYN_NMRT,4,1
SH_FPL_INFM,3,1
SH_FPL_MTMM,4,1
SH_PRV_SMOK,41,1
SH_STA_BRTC,2,1
SH_STA_FGMS,15,1
SH_STA_MMR,4,1
SH_STA_OVRWGT,99,1
SH_STA_STUNT,99,1
SH_STA_WASTE,99,1
SI_POV_NAHC,21,1
SL_ISV_IFEM,48,1
SL_TLF_UEM,48,1
SP_DYN_MRBF15,4,1
SP_DYN_MRBF18,4,1
SP_LGL_LNDAGSEC,2,1
ST_EEV_STDACCT,6,1
VC_VAW_MARR,1,1
