Value,Disaggregation combinations using this value,Number of indicators
ET,323,28
ET01,25,7
ET02,25,7
ET03,25,7
ET04,25,7
ET05,25,7
ET06,25,7
ET07,25,7
ET12,25,7
ET13,25,7
ET14,25,7
ET15,24,7
