Disaggregation,Number of indicators,Number of values
AGE,29,13
EDUCATION_LEV,29,5
INCOME_WEALTH_QUANTILE,29,6
REF_AREA,29,12
REPORTING_TYPE,29,1
SERIES,29,33
SEX,29,3
TIME_DETAIL,29,9
UNIT_MEASURE,29,5
UNIT_MULT,29,1
URBANISATION,29,3
