From,To
REF_AREA,SEX
SEX,AGE
AGE,URBANISATION
URBANISATION,EDUCATION_LEV
EDUCATION_LEV,INCOME_WEALTH_QUANTILE
INCOME_WEALTH_QUANTILE,UNIT_MULT
UNIT_MULT,REPORTING_TYPE
REPORTING_TYPE,TIME_DETAIL
