Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2015,ER_GRF_ANIMSTORN,ET,_T,_T,_T,_T,_T,Number,0,N,2015,13800.0
2016,ER_GRF_ANIMSTORN,ET,_T,_T,_T,_T,_T,Number,0,N,2016,13800.0
2017,ER_GRF_ANIMSTORN,ET,_T,_T,_T,_T,_T,Number,0,N,2017,13800.0
2018,ER_GRF_ANIMSTORN,ET,_T,_T,_T,_T,_T,Number,0,N,2018,13800.0
2019,ER_GRF_ANIMSTORN,ET,_T,_T,_T,_T,_T,Number,0,N,2019,13800.0
2020,ER_GRF_ANIMSTORN,ET,_T,_T,_T,_T,_T,Number,0,N,2020,13800.0
2015,ER_GRF_PLNTSTOR,ET,_T,_T,_T,_T,_T,Number,0,N,2015,2058.0
2016,ER_GRF_PLNTSTOR,ET,_T,_T,_T,_T,_T,Number,0,N,2016,1406.0
2017,ER_GRF_PLNTSTOR,ET,_T,_T,_T,_T,_T,Number,0,N,2017,944.0
2018,ER_GRF_PLNTSTOR,ET,_T,_T,_T,_T,_T,Number,0,N,2018,457.0
2019,ER_GRF_PLNTSTOR,ET,_T,_T,_T,_T,_T,Number,0,N,2019,604.0
