Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2015,D2,ET,_T,_T,_T,_T,_T,Number,0,N,2015,1.0
2016,D2,ET,_T,_T,_T,_T,_T,Number,0,N,2016,1.0
2017,D2,ET,_T,_T,_T,_T,_T,Number,0,N,2017,1.0
2018,D2,ET,_T,_T,_T,_T,_T,Number,0,N,2018,1.0
2019,D2,ET,_T,_T,_T,_T,_T,Number,0,N,2019,1.0
2020,D2,ET,_T,_T,_T,_T,_T,Number,0,N,2020,1.0
