Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2016,SH_PRV_SMOK,ET,F,_T,U,_T,_T,Number,0,N,2016,3476.0
2016,SH_PRV_SMOK,ET,F,_T,R,_T,_T,Number,0,N,2016,12207.0
2016,SH_PRV_SMOK,ET,F,Y15T19,_T,_T,_T,Number,0,N,2016,3381.0
2016,SH_PRV_SMOK,ET,F,Y20T24,_T,_T,_T,Number,0,N,2016,2762.0
2016,SH_PRV_SMOK,ET,F,Y25T29,_T,_T,_T,Number,0,N,2016,2957.0
2016,SH_PRV_SMOK,ET,F,Y30T34,_T,_T,_T,Number,0,N,2016,2345.0
2016,SH_PRV_SMOK,ET,F,Y35T39,_T,_T,_T,Number,0,N,2016,1932.0
2016,SH_PRV_SMOK,ET,F,Y40T44,_T,_T,_T,Number,0,N,2016,1290.0
2016,SH_PRV_SMOK,ET,F,Y45T49,_T,_T,_T,Number,0,N,2016,1017.0
2016,SH_PRV_SMOK,ET,M,_T,U,_T,_T,Number,0,N,2016,2303.0
2016,SH_PRV_SMOK,ET,M,_T,R,_T,_T,Number,0,N,2016,9302.0
2016,SH_PRV_SMOK,ET,M,Y15T19,_T,_T,_T,Number,0,N,2016,2572.0
2016,SH_PRV_SMOK,ET,M,Y15T49,_T,_T,_T,PT,0,N,2016,4.0
2016,SH_PRV_SMOK,ET,M,Y20T24,_T,_T,_T,Number,0,N,2016,1883.0
2016,SH_PRV_SMOK,ET,M,Y25T29,_T,_T,_T,Number,0,N,2016,1977.0
2016,SH_PRV_SMOK,ET,M,Y30T34,_T,_T,_T,Number,0,N,2016,1635.0
2016,SH_PRV_SMOK,ET,M,Y35T39,_T,_T,_T,Number,0,N,2016,1386.0
2016,SH_PRV_SMOK,ET,M,Y40T44,_T,_T,_T,Number,0,N,2016,1206.0
2016,SH_PRV_SMOK,ET,M,Y45T49,_T,_T,_T,Number,0,N,2016,947.0
2016,SH_PRV_SMOK,ET01,F,_T,_T,_T,_T,Number,0,N,2016,1129.0
2016,SH_PRV_SMOK,ET01,M,_T,_T,_T,_T,Number,0,N,2016,708.0
2016,SH_PRV_SMOK,ET02,F,_T,_T,_T,_T,Number,0,N,2016,128.0
2016,SH_PRV_SMOK,ET02,M,_T,_T,_T,_T,Number,0,N,2016,82.0
2016,SH_PRV_SMOK,ET03,F,_T,_T,_T,_T,Number,0,N,2016,3714.0
2016,SH_PRV_SMOK,ET03,M,_T,_T,_T,_T,Number,0,N,2016,2914.0
2016,SH_PRV_SMOK,ET04,F,_T,_T,_T,_T,Number,0,N,2016,5701.0
2016,SH_PRV_SMOK,ET04,M,_T,_T,_T,_T,Number,0,N,2016,4409.0
2016,SH_PRV_SMOK,ET05,F,_T,_T,_T,_T,Number,0,N,2016,459.0
2016,SH_PRV_SMOK,ET05,M,_T,_T,_T,_T,Number,0,N,2016,301.0
2016,SH_PRV_SMOK,ET06,F,_T,_T,_T,_T,Number,0,N,2016,160.0
2016,SH_PRV_SMOK,ET06,M,_T,_T,_T,_T,Number,0,N,2016,118.0
2016,SH_PRV_SMOK,ET07,F,_T,_T,_T,_T,Number,0,N,2016,3288.0
2016,SH_PRV_SMOK,ET07,M,_T,_T,_T,_T,Number,0,N,2016,2371.0
2016,SH_PRV_SMOK,ET12,F,_T,_T,_T,_T,Number,0,N,2016,44.0
2016,SH_PRV_SMOK,ET12,M,_T,_T,_T,_T,Number,0,N,2016,35.0
2016,SH_PRV_SMOK,ET13,F,_T,_T,_T,_T,Number,0,N,2016,38.0
2016,SH_PRV_SMOK,ET13,M,_T,_T,_T,_T,Number,0,N,2016,29.0
2016,SH_PRV_SMOK,ET14,F,_T,_T,_T,_T,Number,0,N,2016,930.0
2016,SH_PRV_SMOK,ET14,M,_T,_T,_T,_T,Number,0,N,2016,573.0
2016,SH_PRV_SMOK,ET15,F,_T,_T,_T,_T,Number,0,N,2016,90.0
2016,SH_PRV_SMOK,ET15,M,_T,_T,_T,_T,Number,0,N,2016,66.0
