Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2016,SH_STA_STUNT,ET,M,Y0T4,_T,_T,_T,PT,0,N,2016,41.3
2000,SH_STA_STUNT,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2000,61.2
2005,SH_STA_STUNT,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2005,46.1
2011,SH_STA_STUNT,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2011,51.4
2016,SH_STA_STUNT,ET01,_T,Y0T4,_T,_T,_T,PT,0,N,2016,39.3
2000,SH_STA_STUNT,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2000,53.1
2005,SH_STA_STUNT,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2005,42.2
2011,SH_STA_STUNT,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2011,50.2
2016,SH_STA_STUNT,ET02,_T,Y0T4,_T,_T,_T,PT,0,N,2016,41.1
2000,SH_STA_STUNT,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2000,63.0
2005,SH_STA_STUNT,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2005,64.0
2011,SH_STA_STUNT,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2011,52.0
2016,SH_STA_STUNT,ET03,_T,Y0T4,_T,_T,_T,PT,0,N,2016,46.3
2000,SH_STA_STUNT,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2000,53.9
2005,SH_STA_STUNT,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2005,43.9
2011,SH_STA_STUNT,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2011,41.4
2016,SH_STA_STUNT,ET04,_T,Y0T4,_T,_T,_T,PT,0,N,2016,36.5
2000,SH_STA_STUNT,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2000,51.8
2005,SH_STA_STUNT,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2005,49.4
2011,SH_STA_STUNT,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2011,33.0
2016,SH_STA_STUNT,ET05,_T,Y0T4,_T,_T,_T,PT,0,N,2016,27.4
2000,SH_STA_STUNT,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2000,49.7
2005,SH_STA_STUNT,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2005,43.8
2011,SH_STA_STUNT,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2011,48.6
2016,SH_STA_STUNT,ET06,_T,Y0T4,_T,_T,_T,PT,0,N,2016,42.7
2000,SH_STA_STUNT,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2000,60.8
2005,SH_STA_STUNT,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2005,55.1
2011,SH_STA_STUNT,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2011,44.1
2016,SH_STA_STUNT,ET07,_T,Y0T4,_T,_T,_T,PT,0,N,2016,38.6
2000,SH_STA_STUNT,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2000,41.7
2005,SH_STA_STUNT,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2005,38.2
2011,SH_STA_STUNT,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2011,27.3
2016,SH_STA_STUNT,ET12,_T,Y0T4,_T,_T,_T,PT,0,N,2016,23.5
2000,SH_STA_STUNT,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2000,42.1
2005,SH_STA_STUNT,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2005,43.8
2011,SH_STA_STUNT,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2011,29.8
2016,SH_STA_STUNT,ET13,_T,Y0T4,_T,_T,_T,PT,0,N,2016,32.0
2000,SH_STA_STUNT,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2000,32.9
2005,SH_STA_STUNT,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2005,24.3
2011,SH_STA_STUNT,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2011,22.0
2016,SH_STA_STUNT,ET14,_T,Y0T4,_T,_T,_T,PT,0,N,2016,14.6
2000,SH_STA_STUNT,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2000,34.3
2005,SH_STA_STUNT,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2005,34.6
2011,SH_STA_STUNT,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2011,36.3
2016,SH_STA_STUNT,ET15,_T,Y0T4,_T,_T,_T,PT,0,N,2016,40.2
